"","protein_id","gene_id","symbol","r.mRNA_Age.Sex","r.Prot_Age.Sex","p.mRNA_Age.Sex","p.Prot_Age.Sex","sig"
"63","ENSMUSP00000042783","ENSMUSG00000039428","Tmem135",-0.209110049415839,0.170289132384614,0.00531817255942495,0.0316625108084968,TRUE
"64","ENSMUSP00000019118","ENSMUSG00000018974","Sart3",-0.214176441072313,0.171309977019987,0.00432875744539674,0.0306689091564621,TRUE
"65","ENSMUSP00000112534","ENSMUSG00000033557","Fam20b",-0.24254586102686,0.583687002422527,0.00127713862968222,2.05691539822617e-09,TRUE
"66","ENSMUSP00000057462","ENSMUSG00000021124","Vti1b",-0.154164196508716,0.370732880393495,0.0389461534977387,2.60567251920236e-06,TRUE
"67","ENSMUSP00000025912","ENSMUSG00000024960","Plcb3",-0.21371053270646,0.351284915780374,0.00441216496623451,7.92232763743556e-06,TRUE
"68","ENSMUSP00000027856","ENSMUSG00000026571","Dcaf6",-0.187761843573629,0.413738697479669,0.0121519824428664,1.93184524003242e-07,TRUE
"69","ENSMUSP00000044361","ENSMUSG00000031715","Smarca5",-0.238780683937086,0.548266998134797,0.00151165896672915,1.89414105012503e-11,TRUE
"70","ENSMUSP00000039098","ENSMUSG00000035632","Cnot3",-0.219700850792967,0.218852675338842,0.00344388228342175,0.0385414449393892,TRUE
"71","ENSMUSP00000032383","ENSMUSG00000030255","Sspn",-0.176157599968254,0.660875273562349,0.0185160296501587,3.17419469387388e-15,TRUE
"72","ENSMUSP00000113921","ENSMUSG00000021693","Kif2a",-0.259317624751632,0.233088348496158,0.000588359441554317,0.0112321777278485,TRUE
"73","ENSMUSP00000060858","ENSMUSG00000049553","Polr1a",-0.230358128041926,0.321363220077791,0.00218818863436018,0.000883395031598051,TRUE
"74","ENSMUSP00000093831","ENSMUSG00000053536","Cstf2t",-0.211910442552148,0.278709267338256,0.0047484001493925,0.00170965913415138,TRUE
"75","ENSMUSP00000121665","ENSMUSG00000018196","Glrx2",-0.188435449352458,0.19421075241511,0.0118512907892583,0.0220863352012462,TRUE
"76","ENSMUSP00000099842","ENSMUSG00000028530","Jak1",-0.161953940672853,0.421749906947448,0.0301755813685426,0.000108609013403708,TRUE
"77","ENSMUSP00000022875","ENSMUSG00000022265","Ank",-0.198541808364875,0.299379510166523,0.00807304630729021,0.000196636149460623,TRUE
"78","ENSMUSP00000072155","ENSMUSG00000056900","Usp13",-0.147928234895329,0.198132286426468,0.0474623179301432,0.0382591460148809,TRUE
"79","ENSMUSP00000041897","ENSMUSG00000036863","Syde2",-0.178308248991413,0.728885816809591,0.0171514716848717,8.14003432642991e-15,TRUE
"80","ENSMUSP00000042509","ENSMUSG00000032512","Wdr48",-0.216677033901032,0.237587373019828,0.00390521908466184,0.0249888495249345,TRUE
"81","ENSMUSP00000076005","ENSMUSG00000001911","Nfix",-0.166494868076169,0.18916152993371,0.0258974039302415,0.0387535962023638,TRUE
"82","ENSMUSP00000117200","ENSMUSG00000001143","Lman2l",-0.245799754000835,0.320030663800188,0.0011022176936674,0.000577342066912844,TRUE
"83","ENSMUSP00000039632","ENSMUSG00000022807","Osbpl11",-0.175821036629577,0.356908344290556,0.0187380280056277,3.80454841324891e-05,TRUE
"84","ENSMUSP00000120085","ENSMUSG00000033671","Cep350",-0.170435526229938,0.456355198270222,0.0226234195125857,3.24630220738479e-08,TRUE
"85","ENSMUSP00000050014","ENSMUSG00000029392","Rilpl1",-0.304049737753969,0.178089193776817,6.17400215571372e-05,0.020664797071975,TRUE
"86","ENSMUSP00000109151","ENSMUSG00000036026","Tmem63b",-0.161892692976243,0.37992753670493,0.030237240600061,0.000201050635228318,TRUE
"87","ENSMUSP00000103712","ENSMUSG00000037818","3110057O12Rik",-0.163059341887932,0.658961577849741,0.0290813338955091,9.07500101607676e-13,TRUE
"88","ENSMUSP00000031556","ENSMUSG00000029571","Tmem106b",-0.222925441268802,0.202951632754656,0.00300744331041642,0.0267899613705214,TRUE
"89","ENSMUSP00000045110","ENSMUSG00000040653","Ppp1r14c",-0.172606404744698,0.283158038036802,0.0209795088496979,0.000275877209390846,TRUE
"90","ENSMUSP00000102771","ENSMUSG00000035623","Rsf1",-0.211907673215144,0.832566380814681,0.00474893497238456,3.85635245821437e-12,TRUE
"91","ENSMUSP00000033776","ENSMUSG00000031403","Dkc1",-0.229588633959827,0.345413505383709,0.00226225824084925,6.50550041382376e-05,TRUE
"92","ENSMUSP00000034400","ENSMUSG00000031924","Cyb5b",-0.23789692269052,0.652420788430467,0.00157221981200072,6.23960277009818e-15,TRUE
"93","ENSMUSP00000113588","ENSMUSG00000031242","2610002M06Rik",-0.23064196822899,0.391195504521518,0.00216143742962614,3.1606891946581e-06,TRUE
"94","ENSMUSP00000126603","ENSMUSG00000021302","Ggps1",-0.160749059475716,0.277326290901256,0.0314087671840567,0.00404838726015267,TRUE
